NC_006583.3.tRNA89-AlaTGC	chr1.tRNA89-AlaTGC
NC_006583.3.tRNA953-LeuTAA	chr1.tRNA953-LeuTAA
NC_006583.3.tRNA6497-GluCTC	chr1.tRNA6497-GluCTC
NC_006583.3.tRNA2081-AlaAGC	chr1.tRNA2081-AlaAGC
NC_006583.3.tRNA5709-SupCTA	chr1.tRNA5709-SupCTA
NC_006583.3.tRNA3529-SeCTCA	chr1.tRNA3529-SeCTCA
NC_006583.3.tRNA3753-IleTAT	chr1.tRNA3753-IleTAT
NC_006583.3.tRNA4289-LysCTT	chr1.tRNA4289-LysCTT
NC_006583.3.tRNA4248-ThrAGT	chr1.tRNA4248-ThrAGT
NC_006592.3.tRNA34-SerCGA	chr10.tRNA34-SerCGA
NC_006592.3.tRNA624-LysCTT	chr10.tRNA624-LysCTT
NC_006592.3.tRNA1625-IleTAT	chr10.tRNA1625-IleTAT
NC_006592.3.tRNA1717-LysCTT	chr10.tRNA1717-LysCTT
NC_006592.3.tRNA2418-GlyCCC	chr10.tRNA2418-GlyCCC
NC_006593.3.tRNA4772-ValAAC	chr11.tRNA4772-ValAAC
NC_006593.3.tRNA4771-ProTGG	chr11.tRNA4771-ProTGG
NC_006593.3.tRNA4770-ThrTGT	chr11.tRNA4770-ThrTGT
NC_006593.3.tRNA11-AlaTGC	chr11.tRNA11-AlaTGC
NC_006593.3.tRNA12-LysCTT	chr11.tRNA12-LysCTT
NC_006593.3.tRNA4768-ValAAC	chr11.tRNA4768-ValAAC
NC_006593.3.tRNA4767-LysCTT	chr11.tRNA4767-LysCTT
NC_006593.3.tRNA4766-ValCAC	chr11.tRNA4766-ValCAC
NC_006593.3.tRNA1346-LysCTT	chr11.tRNA1346-LysCTT
NC_006594.3.tRNA142-LysCTT	chr12.tRNA142-LysCTT
NC_006594.3.tRNA155-LysCTT	chr12.tRNA155-LysCTT
NC_006594.3.tRNA1705-ArgTCT	chr12.tRNA1705-ArgTCT
NC_006595.3.tRNA518-MetCAT	chr13.tRNA518-MetCAT
NC_006595.3.tRNA2844-MetCAT	chr13.tRNA2844-MetCAT
NC_006596.3.tRNA3032-ProAGG	chr14.tRNA3032-ProAGG
NC_006596.3.tRNA544-GluCTC	chr14.tRNA544-GluCTC
NC_006596.3.tRNA2238-LysCTT	chr14.tRNA2238-LysCTT
NC_006596.3.tRNA1291-MetCAT	chr14.tRNA1291-MetCAT
NC_006597.3.tRNA3401-ProAGG	chr15.tRNA3401-ProAGG
NC_006597.3.tRNA3400-ThrTGT	chr15.tRNA3400-ThrTGT
NC_006597.3.tRNA764-LeuTAG	chr15.tRNA764-LeuTAG
NC_006597.3.tRNA3398-TyrGTA	chr15.tRNA3398-TyrGTA
NC_006597.3.tRNA3397-UndetNNN	chr15.tRNA3397-UndetNNN
NC_006597.3.tRNA765-ProTGG	chr15.tRNA765-ProTGG
NC_006597.3.tRNA3393-LeuAAG	chr15.tRNA3393-LeuAAG
NC_006597.3.tRNA3392-LeuTAG	chr15.tRNA3392-LeuTAG
NC_006597.3.tRNA3225-LysCTT	chr15.tRNA3225-LysCTT
NC_006597.3.tRNA1280-MetCAT	chr15.tRNA1280-MetCAT
NC_006597.3.tRNA1317-AspGTC	chr15.tRNA1317-AspGTC
NC_006597.3.tRNA1361-AspGTC	chr15.tRNA1361-AspGTC
NC_006597.3.tRNA1362-TrpCCA	chr15.tRNA1362-TrpCCA
NC_006598.3.tRNA3160-ArgCCT	chr16.tRNA3160-ArgCCT
NC_006598.3.tRNA444-LeuCAA	chr16.tRNA444-LeuCAA
NC_006598.3.tRNA445-GluCTC	chr16.tRNA445-GluCTC
NC_006598.3.tRNA460-CysGCA	chr16.tRNA460-CysGCA
NC_006598.3.tRNA461-CysGCA	chr16.tRNA461-CysGCA
NC_006598.3.tRNA2974-TyrGTA	chr16.tRNA2974-TyrGTA
NC_006598.3.tRNA469-CysGCA	chr16.tRNA469-CysGCA
NC_006598.3.tRNA470-CysGCA	chr16.tRNA470-CysGCA
NC_006598.3.tRNA471-CysGCA	chr16.tRNA471-CysGCA
NC_006598.3.tRNA472-CysGCA	chr16.tRNA472-CysGCA
NC_006598.3.tRNA2966-CysGCA	chr16.tRNA2966-CysGCA
NC_006598.3.tRNA2965-CysGCA	chr16.tRNA2965-CysGCA
NC_006598.3.tRNA2964-CysGCA	chr16.tRNA2964-CysGCA
NC_006598.3.tRNA2963-CysGCA	chr16.tRNA2963-CysGCA
NC_006598.3.tRNA473-CysGCA	chr16.tRNA473-CysGCA
NC_006598.3.tRNA2402-AspATC	chr16.tRNA2402-AspATC
NC_006598.3.tRNA1122-MetCAT	chr16.tRNA1122-MetCAT
NC_006599.3.tRNA629-TyrGTA	chr17.tRNA629-TyrGTA
NC_006599.3.tRNA630-AlaAGC	chr17.tRNA630-AlaAGC
NC_006599.3.tRNA752-LysCTT	chr17.tRNA752-LysCTT
NC_006599.3.tRNA1705-GlnCTG	chr17.tRNA1705-GlnCTG
NC_006599.3.tRNA2267-GlnCTG	chr17.tRNA2267-GlnCTG
NC_006599.3.tRNA1755-GluCTC	chr17.tRNA1755-GluCTC
NC_006599.3.tRNA1756-GlyTCC	chr17.tRNA1756-GlyTCC
NC_006599.3.tRNA1757-HisGTG	chr17.tRNA1757-HisGTG
NC_006599.3.tRNA1758-LysCTT	chr17.tRNA1758-LysCTT
NC_006599.3.tRNA2229-AsnGTT	chr17.tRNA2229-AsnGTT
NC_006599.3.tRNA1762-GlnCTG	chr17.tRNA1762-GlnCTG
NC_006599.3.tRNA1764-AsnGTT	chr17.tRNA1764-AsnGTT
NC_006599.3.tRNA1767-ValCAC	chr17.tRNA1767-ValCAC
NC_006599.3.tRNA2225-AsnGTT	chr17.tRNA2225-AsnGTT
NC_006599.3.tRNA1768-HisGTG	chr17.tRNA1768-HisGTG
