NC_005100.4.tRNA20903-LeuTAA	chr1.tRNA20903-LeuTAA
NC_005100.4.tRNA20299-GluCTC	chr1.tRNA20299-GluCTC
NC_005100.4.tRNA19417-ArgCCT	chr1.tRNA19417-ArgCCT
NC_005100.4.tRNA2334-SeCTCA	chr1.tRNA2334-SeCTCA
NC_005100.4.tRNA18136-IleTAT	chr1.tRNA18136-IleTAT
NC_005100.4.tRNA17719-AlaAGC	chr1.tRNA17719-AlaAGC
NC_005100.4.tRNA17504-ThrAGT	chr1.tRNA17504-ThrAGT
NC_005100.4.tRNA4213-GluTTC	chr1.tRNA4213-GluTTC
NC_005100.4.tRNA4756-ArgTCG	chr1.tRNA4756-ArgTCG
NC_005100.4.tRNA5475-ProTGG	chr1.tRNA5475-ProTGG
NC_005100.4.tRNA15533-ProAGG	chr1.tRNA15533-ProAGG
NC_005100.4.tRNA6065-SerGCT	chr1.tRNA6065-SerGCT
NC_005100.4.tRNA14570-LeuTAG	chr1.tRNA14570-LeuTAG
NC_005100.4.tRNA6460-LeuAAG	chr1.tRNA6460-LeuAAG
NC_005100.4.tRNA7695-AsnGTT	chr1.tRNA7695-AsnGTT
NC_005100.4.tRNA7706-AlaAGC	chr1.tRNA7706-AlaAGC
NC_005100.4.tRNA13116-SerGCT	chr1.tRNA13116-SerGCT
NC_005100.4.tRNA13098-SerGCT	chr1.tRNA13098-SerGCT
NC_005100.4.tRNA8484-PheGAA	chr1.tRNA8484-PheGAA
NC_005100.4.tRNA8485-LysTTT	chr1.tRNA8485-LysTTT
NC_005100.4.tRNA8486-PheGAA	chr1.tRNA8486-PheGAA
NC_005100.4.tRNA12547-LysTTT	chr1.tRNA12547-LysTTT
NC_005100.4.tRNA12546-LeuTAA	chr1.tRNA12546-LeuTAA
NC_005100.4.tRNA12545-ArgTCT	chr1.tRNA12545-ArgTCT
NC_005100.4.tRNA8487-ValTAC	chr1.tRNA8487-ValTAC
NC_005100.4.tRNA8488-ValTAC	chr1.tRNA8488-ValTAC
NC_005100.4.tRNA8645-AlaAGC	chr1.tRNA8645-AlaAGC
NC_005109.4.tRNA15537-ArgCCT	chr10.tRNA15537-ArgCCT
NC_005109.4.tRNA15536-ProAGG	chr10.tRNA15536-ProAGG
NC_005109.4.tRNA15535-LysCTT	chr10.tRNA15535-LysCTT
NC_005109.4.tRNA15534-LysCTT	chr10.tRNA15534-LysCTT
NC_005109.4.tRNA15532-ProAGG	chr10.tRNA15532-ProAGG
NC_005109.4.tRNA15531-ProTGG	chr10.tRNA15531-ProTGG
NC_005109.4.tRNA543-ProCGG	chr10.tRNA543-ProCGG
NC_005109.4.tRNA15529-LysCTT	chr10.tRNA15529-LysCTT
NC_005109.4.tRNA15528-ProTGG	chr10.tRNA15528-ProTGG
NC_005109.4.tRNA545-LysCTT	chr10.tRNA545-LysCTT
NC_005109.4.tRNA15527-ArgCCT	chr10.tRNA15527-ArgCCT
NC_005109.4.tRNA15526-ArgCCG	chr10.tRNA15526-ArgCCG
NC_005109.4.tRNA826-GlyCCC	chr10.tRNA826-GlyCCC
NC_005109.4.tRNA1517-ValCAC	chr10.tRNA1517-ValCAC
NC_005109.4.tRNA1518-ValAAC	chr10.tRNA1518-ValAAC
NC_005109.4.tRNA14587-LysCTT	chr10.tRNA14587-LysCTT
NC_005109.4.tRNA14586-AlaTGC	chr10.tRNA14586-AlaTGC
NC_005109.4.tRNA1523-ThrTGT	chr10.tRNA1523-ThrTGT
NC_005109.4.tRNA1524-ProTGG	chr10.tRNA1524-ProTGG
NC_005109.4.tRNA1525-ValAAC	chr10.tRNA1525-ValAAC
