tRNA	Mouse_Brain_M4_plusAlkB	Mouse_Brain_M5_plusAlkB	Mouse_Brain_M6_plusAlkB	x	x	x	M_dm_Liver_M4_plusAlkB	M_dm_Liver_M5_plusAlkB	M_dm_Liver_M6_plusAlkB
tRNA-Ala-AGC-1_wholecounts	86.46923725	115.5480296	77.78822632	x	x	x	25.3546277	34.41196587	38.81275619
tRNA-Ala-AGC-1_fiveprime	6.176374089	5.431744983	7.143816703	x	x	x	120.4344816	44.66233868	49.9475633
tRNA-Ala-AGC-1_threeprime	68.62637877	78.01960975	96.04464679	x	x	x	31.69328463	56.01096572	57.26472225
tRNA-Ala-AGC-1_other	0.686263788	0.987589997	1.587514823	x	x	x	0	2.562593203	0.318137346
tRNA-Ala-AGC-10_wholecounts	0	3.456564989	0	x	x	x	0	0.366084743	1.908824075
tRNA-Ala-AGC-10_fiveprime	6.176374089	10.36969497	7.937574115	x	x	x	209.1756786	43.56408445	37.22206946
tRNA-Ala-AGC-10_threeprime	22.64670499	19.75179994	21.43145011	x	x	x	95.07985389	82.0029825	84.94267134
tRNA-Ala-AGC-10_other	0	0	0	x	x	x	0	1.09825423	1.590686729
tRNA-Ala-AGC-2_wholecounts	714.400603	1135.728496	802.488743	x	x	x	1977.660961	6234.423178	6608.667085
tRNA-Ala-AGC-2_fiveprime	15.09780333	20.73938993	30.95653905	x	x	x	234.5303063	254.7949813	259.6000742
tRNA-Ala-AGC-2_threeprime	568.2264162	708.1020278	904.8834491	x	x	x	6325.979612	8973.469228	8787.589767
tRNA-Ala-AGC-2_other	10.29395682	3.456564989	14.28763341	x	x	x	88.74119696	59.67181316	53.12893676
tRNA-Ala-AGC-3_wholecounts	2633.194153	5371.008198	2949.602541	x	x	x	766.977488	1720.232209	2374.895287
tRNA-Ala-AGC-3_fiveprime	26.76428772	30.12149491	33.33781128	x	x	x	342.287474	89.69076211	141.2529816
tRNA-Ala-AGC-3_threeprime	450.1890447	795.0099475	737.4006353	x	x	x	817.6867434	710.5704867	830.0203353
tRNA-Ala-AGC-3_other	0.686263788	0	2.381272234	x	x	x	0	1.830423716	0.954412038
tRNA-Ala-AGC-4_wholecounts	1334.783067	1875.927199	1606.565001	x	x	x	5318.133161	9845.117001	11866.20486
tRNA-Ala-AGC-4_fiveprime	170.1934193	167.3965045	183.357962	x	x	x	684.574948	402.6932176	450.8006191
tRNA-Ala-AGC-4_threeprime	634.7940036	818.7121074	1088.241411	x	x	x	7169.020983	5553.139471	6363.383192
tRNA-Ala-AGC-4_other	16.4703309	15.80143995	26.98775199	x	x	x	126.7731385	77.60996558	74.76227628
tRNA-Ala-AGC-5_wholecounts	223.7219948	286.8948941	263.5274606	x	x	x	177.4823939	281.1530829	277.7339029
tRNA-Ala-AGC-5_fiveprime	78.92033558	60.73678481	89.6945875	x	x	x	272.5622478	98.1107112	79.21619912
tRNA-Ala-AGC-5_threeprime	127.6450645	107.6473097	115.0948247	x	x	x	215.5143355	219.2847612	199.4721158
tRNA-Ala-AGC-5_other	0	0.493794998	5.55630188	x	x	x	12.67731385	4.026932176	5.090197534
tRNA-Ala-AGC-6_wholecounts	1375.958894	2016.658774	1612.121303	x	x	x	9019.908806	17954.26015	21798.4528
tRNA-Ala-AGC-6_fiveprime	141.3703403	168.3840945	178.5954176	x	x	x	735.2842034	551.6897081	579.9643815
tRNA-Ala-AGC-6_threeprime	444.6989344	538.7303433	673.1062849	x	x	x	5863.257657	5459.421777	6118.417435
tRNA-Ala-AGC-6_other	16.4703309	15.80143995	26.98775199	x	x	x	126.7731385	77.60996558	74.76227628
tRNA-Ala-AGC-7_wholecounts	225.0945224	375.7779938	300.8340589	x	x	x	500.7538972	1130.103603	1577.643098
tRNA-Ala-AGC-7_fiveprime	30.88187045	20.24559494	37.30659834	x	x	x	133.1117954	69.19001648	62.99119448
tRNA-Ala-AGC-7_threeprime	168.8208918	187.1483044	251.6210994	x	x	x	2161.482012	1178.792873	1387.078828
tRNA-Ala-AGC-7_other	2.058791363	0.987589997	1.587514823	x	x	x	12.67731385	4.026932176	4.772060188
tRNA-Ala-AGC-8_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Ala-AGC-8_fiveprime	26.07802393	29.13390491	33.33781128	x	x	x	367.6421017	90.05684685	137.1171961
tRNA-Ala-AGC-8_threeprime	0	0	0	x	x	x	0	0	0.318137346
tRNA-Ala-AGC-8_other	0.686263788	0	2.381272234	x	x	x	0	0	0.636274692
tRNA-Ala-CGC-1_wholecounts	3182.205183	4493.534486	3359.975123	x	x	x	3524.293251	5862.481079	9057.370236
tRNA-Ala-CGC-1_fiveprime	51.46978408	52.34226984	78.58198374	x	x	x	532.4471818	188.8997275	282.1878258
tRNA-Ala-CGC-1_threeprime	1417.134722	1798.401384	2093.138294	x	x	x	6649.251115	4878.079204	5902.08404
tRNA-Ala-CGC-1_other	6.862637877	6.41933498	11.11260376	x	x	x	69.72522619	38.43889805	26.40539971
tRNA-Ala-CGC-2_wholecounts	2353.884792	3170.657685	2174.10155	x	x	x	1552.970947	3008.850505	4695.707225
tRNA-Ala-CGC-2_fiveprime	21.96044121	17.77661994	19.84393529	x	x	x	513.431211	126.2992364	161.2956343
tRNA-Ala-CGC-2_threeprime	1808.991344	1921.356339	1809.766898	x	x	x	2719.283821	2108.648121	2382.530583
tRNA-Ala-CGC-2_other	4.117582726	1.975179994	2.381272234	x	x	x	12.67731385	17.93815242	11.45294445
tRNA-Ala-CGC-3_wholecounts	0	1.975179994	0	x	x	x	0	0	0
tRNA-Ala-CGC-3_fiveprime	0	0	0	x	x	x	12.67731385	0	3.499510804
tRNA-Ala-CGC-3_threeprime	6.862637877	4.444154986	3.175029646	x	x	x	164.8050801	25.62593203	42.94854169
tRNA-Ala-CGC-3_other	0	0	0	x	x	x	6.338656926	0	0.954412038
tRNA-Ala-CGC-4_wholecounts	0	0	0	x	x	x	0	0	0.318137346
tRNA-Ala-CGC-4_fiveprime	0	0	0	x	x	x	0	0	0
tRNA-Ala-CGC-4_threeprime	19.21538605	18.76420994	11.90636117	x	x	x	202.8370216	28.55460998	58.21913429
tRNA-Ala-CGC-4_other	0	0	0	x	x	x	25.3546277	2.562593203	3.181373459
tRNA-Ala-CGC-5_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Ala-CGC-5_fiveprime	6.862637877	6.41933498	6.350059292	x	x	x	12.67731385	11.34862704	10.81666976
tRNA-Ala-CGC-5_threeprime	0	0	0	x	x	x	0	0	0
tRNA-Ala-CGC-5_other	0.686263788	0.493794998	0	x	x	x	6.338656926	0.732169487	1.908824075
tRNA-Ala-CGC-6_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Ala-CGC-6_fiveprime	0	0	0	x	x	x	0	0.732169487	1.272549383
tRNA-Ala-CGC-6_threeprime	0	0	0	x	x	x	6.338656926	0	0.636274692
tRNA-Ala-CGC-6_other	0	0	0	x	x	x	0	0	0.636274692
tRNA-Ala-CGC-7_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Ala-CGC-7_fiveprime	0	0	0	x	x	x	0	0.732169487	1.272549383
tRNA-Ala-CGC-7_threeprime	11.66648439	8.888309972	3.968787057	x	x	x	164.8050801	25.25984729	38.49461885
tRNA-Ala-CGC-7_other	0	0	0.793757411	x	x	x	12.67731385	2.562593203	0.318137346
tRNA-Ala-TGC-1_wholecounts	94.7044027	164.4337345	119.0636117	x	x	x	25.3546277	112.3880162	160.6593597
tRNA-Ala-TGC-1_fiveprime	4.117582726	10.36969497	11.11260376	x	x	x	19.01597078	13.5451355	18.45196606
tRNA-Ala-TGC-1_threeprime	92.64561134	98.26520469	114.3010673	x	x	x	234.5303063	214.8917443	249.7378165
tRNA-Ala-TGC-1_other	0.686263788	1.481384995	0.793757411	x	x	x	19.01597078	10.61645756	6.362746917
tRNA-Ala-TGC-2_wholecounts	6611.46533	9081.383816	6484.204294	x	x	x	10179.88302	17708.61729	26840.61159
tRNA-Ala-TGC-2_fiveprime	145.487923	153.0764495	180.1829324	x	x	x	1045.878393	732.5355713	907.3277104
tRNA-Ala-TGC-2_threeprime	2130.162797	2536.131112	2941.664967	x	x	x	10680.63692	9471.344479	11238.20174
tRNA-Ala-TGC-2_other	6.176374089	7.406924977	11.90636117	x	x	x	133.1117954	65.16308431	71.89904016
tRNA-Ala-TGC-3_wholecounts	6611.46533	9081.383816	6484.204294	x	x	x	10179.88302	17708.61729	26840.61159
tRNA-Ala-TGC-3_fiveprime	144.8016592	152.0888595	180.1829324	x	x	x	1052.21705	731.0712324	908.9183971
tRNA-Ala-TGC-3_threeprime	2130.162797	2536.131112	2941.664967	x	x	x	10680.63692	9471.344479	11238.20174
tRNA-Ala-TGC-3_other	6.176374089	7.406924977	11.90636117	x	x	x	133.1117954	65.16308431	71.89904016
tRNA-Ala-TGC-4_wholecounts	6083.728478	7222.739442	5606.308597	x	x	x	5603.372723	9609.724512	15277.59162
tRNA-Ala-TGC-4_fiveprime	96.76319406	107.6473097	106.3634931	x	x	x	836.7027142	463.8293698	566.9207503
tRNA-Ala-TGC-4_threeprime	842.0456675	870.0667873	990.6092495	x	x	x	3283.424288	2684.499423	3220.186215
tRNA-Ala-TGC-4_other	3.431318938	5.431744983	9.525088938	x	x	x	88.74119696	33.31371164	37.22206946
tRNA-Ala-TGC-5_wholecounts	6.176374089	8.394514974	15.08139082	x	x	x	0	1.464338973	0.954412038
tRNA-Ala-TGC-5_fiveprime	0	0	0	x	x	x	12.67731385	1.464338973	2.545098767
tRNA-Ala-TGC-5_threeprime	19.21538605	20.24559494	19.05017788	x	x	x	202.8370216	28.92069472	58.21913429
tRNA-Ala-TGC-5_other	0	0	0	x	x	x	31.69328463	4.39301692	3.181373459
tRNA-Ala-TGC-6_wholecounts	337.6417835	447.3782686	339.7281721	x	x	x	31.69328463	56.74313521	80.80688585
tRNA-Ala-TGC-6_fiveprime	22.64670499	18.27041494	20.6376927	x	x	x	31.69328463	12.08079653	26.40539971
tRNA-Ala-TGC-6_threeprime	104.3120957	126.4115196	123.0323988	x	x	x	190.1597078	40.63540651	55.99217287
tRNA-Ala-TGC-6_other	1.372527575	0.987589997	3.175029646	x	x	x	63.38656926	12.81296602	12.08921914
tRNA-Ala-TGC-7_wholecounts	67.25385119	77.03201976	65.08810774	x	x	x	6.338656926	8.419949096	14.95245526
tRNA-Ala-TGC-7_fiveprime	44.6071462	39.50359988	36.51284093	x	x	x	564.1404664	161.4433718	262.7814477
tRNA-Ala-TGC-7_threeprime	27.45055151	28.64010991	31.75029646	x	x	x	177.4823939	42.83191497	54.08334879
tRNA-Ala-TGC-7_other	3.431318938	0	3.175029646	x	x	x	19.01597078	2.562593203	0.954412038
tRNA-Ala-TGC-8_wholecounts	7.548901664	8.888309972	12.70011858	x	x	x	12.67731385	14.64338973	18.13382871
