AC_000158.1.tRNA882-ValCAC	chr1.tRNA882-ValCAC
AC_000158.1.tRNA11501-LysTTT	chr1.tRNA11501-LysTTT
AC_000158.1.tRNA10553-GluTTC	chr1.tRNA10553-GluTTC
AC_000158.1.tRNA3752-ArgTCT	chr1.tRNA3752-ArgTCT
AC_000158.1.tRNA10493-GlyGCC	chr1.tRNA10493-GlyGCC
AC_000158.1.tRNA3863-CysACA	chr1.tRNA3863-CysACA
AC_000158.1.tRNA4166-ThrTGT	chr1.tRNA4166-ThrTGT
AC_000158.1.tRNA4167-ArgTCG	chr1.tRNA4167-ArgTCG
AC_000158.1.tRNA10159-IleTAT	chr1.tRNA10159-IleTAT
AC_000158.1.tRNA4172-AlaAGC	chr1.tRNA4172-AlaAGC
AC_000158.1.tRNA4173-ThrCGT	chr1.tRNA4173-ThrCGT
AC_000158.1.tRNA10157-MetCAT	chr1.tRNA10157-MetCAT
AC_000158.1.tRNA4174-LeuAAG	chr1.tRNA4174-LeuAAG
AC_000158.1.tRNA4175-ThrTGT	chr1.tRNA4175-ThrTGT
AC_000158.1.tRNA4176-PheGAA	chr1.tRNA4176-PheGAA
AC_000158.1.tRNA4331-LysCTT	chr1.tRNA4331-LysCTT
AC_000158.1.tRNA9988-TyrGTA	chr1.tRNA9988-TyrGTA
AC_000158.1.tRNA9983-ValAAC	chr1.tRNA9983-ValAAC
AC_000158.1.tRNA4578-SerGGA	chr1.tRNA4578-SerGGA
AC_000158.1.tRNA9687-TrpCCA	chr1.tRNA9687-TrpCCA
AC_000158.1.tRNA9407-GlnCTG	chr1.tRNA9407-GlnCTG
AC_000158.1.tRNA4978-LysTTT	chr1.tRNA4978-LysTTT
AC_000158.1.tRNA5203-ArgCCT	chr1.tRNA5203-ArgCCT
AC_000158.1.tRNA8836-LysTTT	chr1.tRNA8836-LysTTT
AC_000158.1.tRNA8485-GlyCCC	chr1.tRNA8485-GlyCCC
AC_000167.1.tRNA9617-ArgCCG	chr10.tRNA9617-ArgCCG
AC_000167.1.tRNA9381-GlnCTG	chr10.tRNA9381-GlnCTG
AC_000167.1.tRNA9232-ArgCCG	chr10.tRNA9232-ArgCCG
AC_000167.1.tRNA906-AspGTC	chr10.tRNA906-AspGTC
AC_000167.1.tRNA8889-ArgACG	chr10.tRNA8889-ArgACG
AC_000167.1.tRNA8699-ProTGG	chr10.tRNA8699-ProTGG
AC_000167.1.tRNA8698-TyrGTA	chr10.tRNA8698-TyrGTA
AC_000167.1.tRNA8697-ThrTGT	chr10.tRNA8697-ThrTGT
AC_000167.1.tRNA1322-LeuTAG	chr10.tRNA1322-LeuTAG
AC_000167.1.tRNA1323-LeuAAG	chr10.tRNA1323-LeuAAG
AC_000167.1.tRNA1324-TyrGTA	chr10.tRNA1324-TyrGTA
AC_000167.1.tRNA1325-TyrGTA	chr10.tRNA1325-TyrGTA
AC_000167.1.tRNA1326-TyrGTA	chr10.tRNA1326-TyrGTA
AC_000167.1.tRNA1327-TyrGTA	chr10.tRNA1327-TyrGTA
AC_000167.1.tRNA8696-ProTGG	chr10.tRNA8696-ProTGG
AC_000167.1.tRNA1328-ThrTGT	chr10.tRNA1328-ThrTGT
AC_000167.1.tRNA8695-LeuTAG	chr10.tRNA8695-LeuTAG
AC_000167.1.tRNA1330-ThrTGT	chr10.tRNA1330-ThrTGT
AC_000167.1.tRNA1331-ProAGG	chr10.tRNA1331-ProAGG
AC_000167.1.tRNA8693-LeuAAG	chr10.tRNA8693-LeuAAG
AC_000167.1.tRNA1332-ProAGG	chr10.tRNA1332-ProAGG
AC_000167.1.tRNA8259-SerGCT	chr10.tRNA8259-SerGCT
AC_000167.1.tRNA7396-SupTCA	chr10.tRNA7396-SupTCA
AC_000167.1.tRNA6948-HisGTG	chr10.tRNA6948-HisGTG
AC_000167.1.tRNA3055-HisGTG	chr10.tRNA3055-HisGTG
AC_000167.1.tRNA3056-HisGTG	chr10.tRNA3056-HisGTG
AC_000167.1.tRNA6942-SerGGA	chr10.tRNA6942-SerGGA
AC_000167.1.tRNA3194-SerGCT	chr10.tRNA3194-SerGCT
AC_000167.1.tRNA6801-IleTAT	chr10.tRNA6801-IleTAT
AC_000167.1.tRNA6699-LysCTT	chr10.tRNA6699-LysCTT
AC_000167.1.tRNA6621-GlnTTG	chr10.tRNA6621-GlnTTG
AC_000167.1.tRNA3680-ArgCCT	chr10.tRNA3680-ArgCCT
AC_000167.1.tRNA3907-TrpCCA	chr10.tRNA3907-TrpCCA
AC_000167.1.tRNA5501-LysTTT	chr10.tRNA5501-LysTTT
AC_000167.1.tRNA5487-LysCTT	chr10.tRNA5487-LysCTT
AC_000168.1.tRNA10681-GlyTCC	chr11.tRNA10681-GlyTCC
AC_000168.1.tRNA1389-IleTAT	chr11.tRNA1389-IleTAT
AC_000168.1.tRNA9718-SerGGA	chr11.tRNA9718-SerGGA
AC_000168.1.tRNA2692-SerGCT	chr11.tRNA2692-SerGCT
AC_000168.1.tRNA7876-ValTAC	chr11.tRNA7876-ValTAC
AC_000168.1.tRNA7624-GlyCCC	chr11.tRNA7624-GlyCCC
AC_000168.1.tRNA3562-SerGGA	chr11.tRNA3562-SerGGA
AC_000168.1.tRNA7448-AlaAGC	chr11.tRNA7448-AlaAGC
AC_000168.1.tRNA7447-TyrGTA	chr11.tRNA7447-TyrGTA
AC_000168.1.tRNA5982-ArgTCT	chr11.tRNA5982-ArgTCT
AC_000168.1.tRNA5979-TrpCCA	chr11.tRNA5979-TrpCCA
AC_000168.1.tRNA5318-GlyCCC	chr11.tRNA5318-GlyCCC
AC_000168.1.tRNA5514-SupTCA	chr11.tRNA5514-SupTCA
AC_000169.1.tRNA8713-ArgCCT	chr12.tRNA8713-ArgCCT
AC_000169.1.tRNA8402-GluTTC	chr12.tRNA8402-GluTTC
AC_000169.1.tRNA8298-ArgCCT	chr12.tRNA8298-ArgCCT
AC_000169.1.tRNA8168-SerACT	chr12.tRNA8168-SerACT
AC_000169.1.tRNA8059-GlnCTG	chr12.tRNA8059-GlnCTG
AC_000169.1.tRNA1044-ArgTCT	chr12.tRNA1044-ArgTCT
AC_000169.1.tRNA7901-iMetCAT	chr12.tRNA7901-iMetCAT
AC_000169.1.tRNA1620-AsnGTT	chr12.tRNA1620-AsnGTT
AC_000169.1.tRNA1630-CysGCA	chr12.tRNA1630-CysGCA
AC_000169.1.tRNA1669-GlyTCC	chr12.tRNA1669-GlyTCC
AC_000169.1.tRNA1903-GlyCCC	chr12.tRNA1903-GlyCCC
AC_000169.1.tRNA7031-LysTTT	chr12.tRNA7031-LysTTT
AC_000169.1.tRNA6358-ArgCCT	chr12.tRNA6358-ArgCCT
AC_000169.1.tRNA6225-TrpCCA	chr12.tRNA6225-TrpCCA
AC_000169.1.tRNA6213-SupCTA	chr12.tRNA6213-SupCTA
AC_000169.1.tRNA6081-CysGCA	chr12.tRNA6081-CysGCA
AC_000169.1.tRNA3016-GlnCTG	chr12.tRNA3016-GlnCTG
AC_000169.1.tRNA5671-PheGAA	chr12.tRNA5671-PheGAA
AC_000169.1.tRNA4200-SerGGA	chr12.tRNA4200-SerGGA
