CM000812.5.tRNA5870-LeuTAA	chr1.tRNA5870-LeuTAA
CM000812.5.tRNA459-GluCTC	chr1.tRNA459-GluCTC
CM000812.5.tRNA5156-AlaAGC	chr1.tRNA5156-AlaAGC
CM000812.5.tRNA5087-AspGTC	chr1.tRNA5087-AspGTC
CM000812.5.tRNA4760-AspATC	chr1.tRNA4760-AspATC
CM000812.5.tRNA4734-HisGTG	chr1.tRNA4734-HisGTG
CM000812.5.tRNA1464-HisGTG	chr1.tRNA1464-HisGTG
CM000812.5.tRNA1465-HisGTG	chr1.tRNA1465-HisGTG
CM000812.5.tRNA1554-SerGCT	chr1.tRNA1554-SerGCT
CM000812.5.tRNA4534-GluTTC	chr1.tRNA4534-GluTTC
CM000812.5.tRNA4284-GlnCTG	chr1.tRNA4284-GlnCTG
CM000812.5.tRNA4060-LysCTT	chr1.tRNA4060-LysCTT
CM000812.5.tRNA2377-HisGTG	chr1.tRNA2377-HisGTG
CM000812.5.tRNA3716-GluTTC	chr1.tRNA3716-GluTTC
CM000812.5.tRNA3681-ValTAC	chr1.tRNA3681-ValTAC
CM000812.5.tRNA2757-GluTTC	chr1.tRNA2757-GluTTC
CM000812.5.tRNA3419-GluTTC	chr1.tRNA3419-GluTTC
CM000812.5.tRNA3242-GluTTC	chr1.tRNA3242-GluTTC
CM000812.5.tRNA3225-ArgTCT	chr1.tRNA3225-ArgTCT
CM000821.5.tRNA110-ThrTGT	chr10.tRNA110-ThrTGT
CM000821.5.tRNA287-GluTTC	chr10.tRNA287-GluTTC
CM000821.5.tRNA435-AspGTC	chr10.tRNA435-AspGTC
CM000821.5.tRNA809-AsnGTT	chr10.tRNA809-AsnGTT
CM000822.5.tRNA1762-AsnGTT	chr11.tRNA1762-AsnGTT
CM000822.5.tRNA357-GluTTC	chr11.tRNA357-GluTTC
CM000822.5.tRNA441-GluTTC	chr11.tRNA441-GluTTC
CM000822.5.tRNA1132-PheGAA	chr11.tRNA1132-PheGAA
CM000823.5.tRNA2353-GluTTC	chr12.tRNA2353-GluTTC
CM000823.5.tRNA2290-ArgCCT	chr12.tRNA2290-ArgCCT
CM000823.5.tRNA102-ArgTCG	chr12.tRNA102-ArgTCG
CM000823.5.tRNA103-ArgCCT	chr12.tRNA103-ArgCCT
CM000823.5.tRNA2289-ArgCCT	chr12.tRNA2289-ArgCCT
CM000823.5.tRNA2287-ValTAC	chr12.tRNA2287-ValTAC
CM000823.5.tRNA2159-ArgCCG	chr12.tRNA2159-ArgCCG
CM000823.5.tRNA264-AlaCGC	chr12.tRNA264-AlaCGC
CM000823.5.tRNA402-CysGCA	chr12.tRNA402-CysGCA
CM000823.5.tRNA403-CysGCA	chr12.tRNA403-CysGCA
CM000823.5.tRNA407-CysGCA	chr12.tRNA407-CysGCA
CM000823.5.tRNA1953-CysGCA	chr12.tRNA1953-CysGCA
CM000823.5.tRNA408-CysGCA	chr12.tRNA408-CysGCA
CM000823.5.tRNA409-CysGCA	chr12.tRNA409-CysGCA
CM000823.5.tRNA411-AsnGTT	chr12.tRNA411-AsnGTT
